State,PercentSmallBiz,PercentEmplySmallBiz,AvgEmPerSmallBiz,MedIncomeSelfEmpCorp,MedIncomeSelfEmpUnincorp,PercentExportSmallBiz,PercentExportValue,StateGDPGrowth,StateUnemployRate,ShareManufactEmploy,AvgEmpPerWOB,AvgEmpPerVOB,AvgEmpPerMOB,ShareProSvcEmploy,GrowthNumPropiertors
Alabama,0.99369048,0.47468996,2.0,48941,20760,0.8040,0.1550,0.03,0.04,0.34,11.8,10.7,9.5,0.62,0.02
Alaska,0.99127951,0.53152437,2.0,60559,30817,0.7100,0.3840,0.02,0.07,0.35,5.6,6.5,6.4,0.59,0.01
Arizona,0.99429756,0.44496350,1.8,48698,20872,0.8740,0.2310,0.03,0.05,0.46,8.3,11.5,9.4,0.56,0.03
Arkansas,0.99271393,0.47823824,1.9,45044,21128,0.7810,0.2830,0.02,0.04,0.26,8.2,7.8,7.7,0.71,0.02
California,0.99846476,0.48837765,1.8,57420,25034,0.9570,0.4320,0.03,0.04,0.53,7.9,10.1,8.5,0.55,0.03
Colorado,0.99466148,0.48610721,1.8,49977,24631,0.8750,0.3060,0.04,0.03,0.52,6.1,8.6,7.6,0.57,0.02
Connecticut,0.99361370,0.48951302,2.1,61776,30812,0.8880,0.2640,0.04,0.05,0.50,9.9,10.0,8.4,0.51,0.02
Delaware,0.98310267,0.45341168,2.3,49765,23801,0.8700,0.1910,0.06,0.05,0.34,6.6,12.9,6.5,0.53,0.02
District of Columbia,0.98174981,0.47391823,3.3,66500,34113,0.7680,0.7950,0.02,0.06,0.77,9.3,*,9.0,0.46,0.03
Florida,0.99811747,0.42180563,1.3,41226,18986,0.9500,0.5890,0.03,0.04,0.54,5.6,7.9,5.8,0.67,0.03
Georgia,0.99599885,0.43248242,1.5,45293,21529,0.8820,0.2890,0.03,0.05,0.34,8.4,10.2,7.0,0.58,0.02
Hawaii,0.99265119,0.51814382,2.1,49619,25065,0.8500,0.6940,0.01,0.02,0.79,7.1,*,12.3,0.74,0.03
Idaho,0.99184864,0.55752355,1.9,42416,23222,0.8290,0.2680,0.03,0.03,0.47,8.7,7.3,7.5,0.60,0.02
Illinois,0.99616775,0.45491418,2.0,51453,24280,0.8970,0.2590,0.04,0.05,0.49,7.4,11.9,6.7,0.54,0.02
Indiana,0.99379032,0.45042347,2.4,45276,21730,0.8510,0.1740,0.03,0.03,0.37,9.3,11.9,11.9,0.64,0.02
Iowa,0.99289447,0.48305163,2.4,44504,25494,0.8300,0.1890,0.02,0.03,0.32,8.5,9.1,8.5,0.65,0.02
Kansas,0.99141119,0.51010862,2.4,49950,24514,0.8220,0.2210,0.02,0.04,0.36,8.1,10.0,8.8,0.66,0.02
Kentucky,0.99287289,0.44076805,2.0,46441,20807,0.7960,0.3390,0.02,0.04,0.32,8.7,14.1,12.2,0.67,0.02
Louisiana,0.99477186,0.53187267,2.1,50668,22449,0.8410,0.3270,0.01,0.05,0.43,10.4,12.8,11.9,0.66,0.02
Maine,0.99251197,0.56869158,2.0,41921,21733,0.8310,0.5120,0.03,0.03,0.49,*,9.6,6.3,0.77,0.02
Maryland,0.99516371,0.50201512,1.9,53626,26691,0.8750,0.2960,0.03,0.04,0.47,8.9,11.4,8.0,0.53,0.03
Massachusetts,0.99508147,0.46112671,2.2,60670,30754,0.8910,0.3470,0.04,0.04,0.54,8.0,8.1,8.0,0.55,0.02
Michigan,0.99626587,0.49238661,2.1,45005,20580,0.8930,0.2390,0.04,0.05,0.46,8.6,10.3,12.0,0.54,0.02
Minnesota,0.99460170,0.47815959,2.4,50209,26111,0.8700,0.2940,0.02,0.03,0.46,*,9.8,11.0,0.52,0.02
Mississippi,0.99305325,0.46939467,1.7,46036,22271,0.7590,0.1630,0.03,0.05,0.30,8.3,9.6,6.8,0.77,0.02
Missouri,0.99426378,0.47018445,2.2,45414,22207,0.8470,0.2680,0.04,0.04,0.39,6.3,11.2,7.0,0.52,0.02
Montana,0.99265045,0.65237667,2.1,39474,21337,0.8420,0.6560,0.02,0.04,0.74,6.3,9.0,6.3,0.77,0.02
Nebraska,0.99110085,0.46737311,2.4,43900,25730,0.7930,0.2550,0.02,0.03,0.32,6.2,*,8.4,0.27,0.02
Nevada,0.99140492,0.41995549,1.9,50174,22344,0.8630,0.1700,0.03,0.05,0.57,8.4,23.7,9.6,0.68,0.02
New Hampshire,0.99011192,0.50544044,2.2,52961,27201,0.8610,0.3830,0.04,0.03,0.43,6.3,8.2,8.7,0.71,0.02
New Jersey,0.99612362,0.49795497,2.1,60462,30032,0.9170,0.4310,0.03,0.05,0.62,7.8,15.0,6.7,0.58,0.03
New Mexico,0.98979134,0.54230988,2.2,41733,18772,0.8290,0.4320,0.02,0.06,0.57,8.9,10.9,10.3,*,0.02
New York,0.99784527,0.50204938,1.9,52335,23740,0.9390,0.5700,0.04,0.05,0.59,7.0,8.3,5.5,0.56,0.03
North Carolina,0.99590631,0.44347140,1.8,43867,21134,0.8740,0.2610,0.03,0.05,0.36,8.1,9.7,7.9,0.57,0.02
North Dakota,0.98764141,0.57652920,2.9,55127,36377,0.8170,0.3470,0.02,0.03,0.47,7.7,7.7,8.6,0.73,0.02
Ohio,0.99568864,0.46016396,2.3,46766,22275,0.8870,0.2240,0.04,0.05,0.45,10.8,10.6,9.5,0.63,0.02
Oklahoma,0.99356920,0.51991484,2.1,48491,23234,0.8390,0.2460,0.03,0.04,0.42,8.7,7.4,*,0.71,0.02
Oregon,0.99393881,0.54957174,2.2,45522,21131,0.8820,0.2700,0.04,0.04,0.52,8.1,7.4,7.3,0.66,0.02
Pennsylvania,0.99595949,0.46652280,2.4,51086,25566,0.8880,0.3100,0.03,0.05,0.48,8.7,13.8,7.3,0.61,0.02
Rhode Island,0.98914939,0.52672943,2.2,51167,26515,0.8780,0.6160,0.03,0.05,0.65,6.6,8.2,5.9,0.66,0.03
South Carolina,0.99378117,0.46744565,1.9,45199,20649,0.8430,0.1030,0.03,0.04,0.33,7.9,*,9.8,0.64,0.02
South Dakota,0.98993254,0.59312666,2.5,45704,31506,0.7520,0.3620,0.01,0.03,0.43,*,*,8.8,0.81,0.01
Tennessee,0.99452086,0.42717528,1.8,51389,23290,0.8230,0.1580,0.03,0.03,0.33,9.9,12.2,11.4,0.59,0.02
Texas,0.99776504,0.45622864,1.8,52359,22573,0.9290,0.3760,0.05,0.04,0.43,10.5,11.2,9.9,0.59,0.02
Utah,0.99263600,0.46330175,2.0,50918,19462,0.8420,0.4890,0.04,0.03,0.43,8.3,*,8.8,0.55,0.03
Vermont,0.99037456,0.59354340,2.0,45415,21796,0.8310,0.3490,0.03,0.03,0.52,5.7,7.5,4.7,0.54,0.02
Virginia,0.99523253,0.47013585,2.1,51492,22481,0.8460,0.2660,0.02,0.04,0.35,8.6,10.7,8.4,0.50,0.02
Washington,0.99496211,0.51455537,2.3,50668,24405,0.8930,0.1930,0.04,0.05,0.43,7.6,7.3,7.9,0.64,0.03
West Virginia,0.98893413,0.49557067,2.4,42418,19962,0.7610,0.2540,0.03,0.05,0.39,8.6,11.6,10.1,0.71,0.02
Wisconsin,0.99412443,0.49749194,2.8,43406,22210,0.8591,0.2741,0.03,0.03,0.46,9.3,13.0,9.8,0.70,0.02
Wyoming,0.98809075,0.62608866,2.1,46800,21397,0.7341,0.6301,0.02,0.04,0.52,*,6.4,6.6,0.90,0.02
